Step,v_hf_bsurf,v_hf_bsolv
14820,7041053400,17468679000
14840,-72190784000,13092754000
14860,1.25858E+11,28700126000
14880,-66477474000,18922816000
14900,41138278000,209174710
14920,-17163721000,-3151522800
14940,-80443174000,-29868681000
14960,1.25192E+11,-23637470000
14980,13719662000,-22657778000
15000,54101692000,5737184300
15020,-97446539000,-7668312900
15040,20299423000,-25913831000
15060,-26476944000,-13186027000
15080,-13979563000,-40948370000
15100,18344514000,-1082892300
15120,-36883252000,21130171000
15140,-1.699E+11,37918277000
15160,1.03988E+11,1876621700
15180,-38738815000,2484762500
15200,59922818000,-10032148000
15220,19968202000,-16475881000
15240,-46880487000,12975598000
15260,53016354000,21278676000
15280,-54692472000,20436363000
15300,7478348900,512480240
15320,24614292000,-7211622700
15340,27998100000,-19759391000
15360,1075532600,-5344847600
15380,-26693628000,-30844685000
15400,41302263000,11410564000
15420,-15923777000,-9789557500
15440,71118262000,43426593000
15460,-38492462000,-11306540000
15480,-27574132000,-8208218800
15500,29579122000,10631189000
15520,-10111310000,18421385000
15540,46765973000,4472886400
15560,-37853067000,24848004000
15580,-33102968000,16280297000
15600,-70649085000,-25136050000
15620,53355868000,724997980
15640,69787663000,-39849177000
15660,-1.47788E+11,20586060000
15680,3506192200,-3894729300
15700,47014562000,-23635528000
15720,-63858369000,13511859000
15740,98579996000,1577582400
15760,44439726000,33909670000
15780,-35517190000,40656935000
15800,-62878649000,30543882000
15820,51359990000,41591033000
15840,-95580456000,6059526500
15860,-32157598000,30691414000
15880,58434252000,-28369855000
15900,-65681175000,-10119526000
15920,-62736792000,18940463000
15940,4518294700,131818740
15960,-33640663000,17583624000
15980,61024764000,-31661234000
16000,-52939229000,-16147928000
16020,1.03379E+11,20401190000
16040,-73439857000,22471518000
16060,8567168200,8519407700
16080,31633212000,7115582200
16100,1.02145E+11,1661509600
16120,55659366000,-12651541000
16140,-1.20047E+11,-2394484800
16160,59591291000,990600480
16180,8302195900,-29097194000
16200,52200204000,-24586848000
16220,36145479000,-25702706000
16240,-17407981000,-4327257100
16260,-30077029000,3931973400
16280,-21517174000,-22876545000
16300,13448939000,4265363500
16320,75371655000,3585948400
16340,15190881000,13102713000
16360,34528489000,-17803321000
16380,-1.49636E+11,18241842000
16400,98678456000,33815218000
16420,34648716000,-4812805300
16440,33386023000,2747058000
16460,-58549634000,18821925000
16480,-54566468000,-133468550
16500,-16228216000,17235381000
16520,-1.08389E+11,-11130002000
16540,1.82974E+11,9542231500
16560,63932798000,-2624831200
16580,-36149734000,22491252000
16600,17015009000,-3851340700
16620,-1.02782E+11,6431807700
16640,1.01698E+11,-4789434600
16660,12897505000,-2377540000
16680,-4660764900,25354144000
16700,-8930668200,26900474000
16720,-54929601000,10729316000
16740,1.07459E+11,-1989146200
16760,-92057280000,-46579114000
16780,1.76887E+11,21510504000
16800,-1.17351E+11,-42910491000
16820,30820300000,-4295315500
16840,62591350000,-7754391700
16860,-98920240000,-10010969000
16880,96499743000,-13678063000
16900,-91340825000,3194233900
16920,-48440046000,-28236250000
16940,-23175197000,-16530814000
16960,-73441158000,-6256431800
16980,1.3396E+11,15065983000
17000,-1.53511E+11,-20038164000
